Year,Country,PSI_AQI
2014,桃園市,74
2014,新竹市,70
2014,新竹縣,71
2014,苗栗縣,74
2014,台中市,81
2014,彰化縣,88
2014,南投縣,96
2014,雲林縣,92
2014,嘉義市,93
2014,嘉義縣,89
2014,台南市,88
2014,高雄市,93
2014,屏東縣,79
2014,宜蘭縣,54
2014,花蓮縣,42
2014,台東縣,40
2014,澎湖縣,58
2014,連江縣,82
2014,金門縣,92
2015,全國,70
2015,基隆市,60
2015,台北市,60
2015,新北市,63
2015,桃園市,65
2015,新竹市,69
2015,新竹縣,62
2015,苗栗縣,69
2015,台中市,74
2015,彰化縣,78
2015,南投縣,89
2015,雲林縣,86
2015,嘉義市,83
2015,嘉義縣,77
2015,台南市,80
2015,高雄市,84
2015,屏東縣,72
2015,宜蘭縣,50
2015,花蓮縣,43
2015,台東縣,38
2015,澎湖縣,59
2015,連江縣,78
2015,金門縣,83
2016,全國,67
2016,基隆市,54
2016,台北市,58
2016,新北市,60
2016,桃園市,62
2016,新竹市,59
2016,新竹縣,67
2016,苗栗縣,64
2016,台中市,72
2016,彰化縣,71
2016,南投縣,80
2016,雲林縣,83
2016,嘉義市,82
2016,嘉義縣,78
2016,台南市,80
2016,高雄市,83
2016,屏東縣,72
2016,宜蘭縣,42
2016,花蓮縣,44
2016,台東縣,35
2016,澎湖縣,55
2016,連江縣,74
2016,金門縣,76
2017,全國,68
2017,基隆市,55
2017,台北市,57
2017,新北市,60
2017,桃園市,60
2017,新竹市,57
2017,新竹縣,62
2017,苗栗縣,62
2017,台中市,68
2017,彰化縣,69
2017,南投縣,84
2017,雲林縣,84
2017,嘉義市,83
2017,嘉義縣,77
2017,台南市,78
2017,高雄市,85
2017,屏東縣,75
2017,宜蘭縣,46
2017,花蓮縣,42
2017,台東縣,33
2017,澎湖縣,53
2017,連江縣,77
2017,金門縣,83
2018,全國,65
2018,基隆市,53
2018,台北市,54
2018,新北市,57
2018,桃園市,60
2018,新竹市,63
2018,新竹縣,60
2018,苗栗縣,68
2018,台中市,67
2018,彰化縣,71
2018,南投縣,76
2018,雲林縣,79
2018,嘉義市,76
2018,嘉義縣,77
2018,台南市,76
2018,高雄市,80
2018,屏東縣,70
2018,宜蘭縣,45
2018,花蓮縣,39
2018,台東縣,34
2018,澎湖縣,58
2018,連江縣,77
2018,金門縣,79
2019,全國,61
2019,基隆市,49
2019,台北市,51
2019,新北市,52
2019,桃園市,55
2019,新竹市,58
2019,新竹縣,57
2019,苗栗縣,58
2019,台中市,63
2019,彰化縣,63
2019,南投縣,71
2019,雲林縣,76
2019,嘉義市,73
2019,嘉義縣,70
2019,台南市,74
2019,高雄市,76
2019,屏東縣,69
2019,宜蘭縣,43
2019,花蓮縣,41
2019,台東縣,34
2019,澎湖縣,57
2019,連江縣,77
2019,金門縣,78
